#id: 1502934799
#name: H.sapiens - Whole organism (Integrated)
#score: 25.3
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM, Interaction consistency score: 25.3, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
4441581	9606.ENSP00000346037	1243
4437909	9606.ENSP00000302896	1241
4441649	9606.ENSP00000346694	1238
4437721	9606.ENSP00000301072	1218
4446852	9606.ENSP00000381736	1216
4449378	9606.ENSP00000426909	1209
4446103	9606.ENSP00000376793	1202
4450315	9606.ENSP00000450540	1202
4437720	9606.ENSP00000301071	1201
4448690	9606.ENSP00000413436	1200
4450004	9606.ENSP00000441828	1198
4449695	9606.ENSP00000434024	1196
4440643	9606.ENSP00000335153	1192
4443409	9606.ENSP00000358866	1188
4437358	9606.ENSP00000297012	1187
4442096	9606.ENSP00000351022	1164
4440923	9606.ENSP00000339095	1155
4433552	9606.ENSP00000232003	1151
4436296	9606.ENSP00000278572	1150
4439351	9606.ENSP00000320295	1129
4443270	9606.ENSP00000358155	1129
4451142	9606.ENSP00000475814	1129
4443785	9606.ENSP00000360687	1128
4435679	9606.ENSP00000266041	1126
4440336	9606.ENSP00000332194	1124
4438461	9606.ENSP00000308938	1119
4446116	9606.ENSP00000376886	1104
4441582	9606.ENSP00000346046	1059
4433357	9606.ENSP00000226218	1055
4439895	9606.ENSP00000327070	1044
4438847	9606.ENSP00000313199	1041
4446837	9606.ENSP00000381607	1037
4440440	9606.ENSP00000333277	1028
4443269	9606.ENSP00000358154	1028
4447238	9606.ENSP00000385479	1028
4442800	9606.ENSP00000356037	1026
4433003	9606.ENSP00000217182	1023
4450405	9606.ENSP00000452780	1023
4435881	9606.ENSP00000269321	1021
4434227	9606.ENSP00000252486	1021
4438923	9606.ENSP00000314299	1013
4432924	9606.ENSP00000216181	1011
4442159	9606.ENSP00000351589	993
4442214	9606.ENSP00000352119	993
4442276	9606.ENSP00000352627	993
4451672	9606.ENSP00000482431	993
4451686	9606.ENSP00000482538	993
4444893	9606.ENSP00000366679	992
4449897	9606.ENSP00000439189	992
4440028	9606.ENSP00000328484	992
4441116	9606.ENSP00000341094	991
4449876	9606.ENSP00000438553	987
4444942	9606.ENSP00000367022	962
4435927	9606.ENSP00000270142	961
4438689	9606.ENSP00000311430	961
4437955	9606.ENSP00000303373	961
4451813	9606.ENSP00000483842	961
4442727	9606.ENSP00000355656	961
4434056	9606.ENSP00000248437	959
4445357	9606.ENSP00000369609	956
4441438	9606.ENSP00000344547	954
4449110	9606.ENSP00000420311	951
4450282	9606.ENSP00000449328	951
4443118	9606.ENSP00000357516	942
4439666	9606.ENSP00000324173	935
4440720	9606.ENSP00000336702	935
4439523	9606.ENSP00000322419	930
4448835	9606.ENSP00000416561	926
4441579	9606.ENSP00000346027	925
4438372	9606.ENSP00000307940	911
4442876	9606.ENSP00000356385	908
4442879	9606.ENSP00000356391	908
4434407	9606.ENSP00000255040	906
4439919	9606.ENSP00000327431	899
4447293	9606.ENSP00000385958	888
4444796	9606.ENSP00000366109	866
4448185	9606.ENSP00000401564	865
4437770	9606.ENSP00000301522	856
4444027	9606.ENSP00000361883	853
4441576	9606.ENSP00000346001	851
4450191	9606.ENSP00000446215	839
4440987	9606.ENSP00000339795	838
4438576	9606.ENSP00000310275	831
4445799	9606.ENSP00000373487	829
4448829	9606.ENSP00000416429	828
4443164	9606.ENSP00000357722	826
4439661	9606.ENSP00000324105	822
4436285	9606.ENSP00000278407	822
4446810	9606.ENSP00000381448	819
4438368	9606.ENSP00000307889	818
4439955	9606.ENSP00000327801	817
4441583	9606.ENSP00000346050	817
4441661	9606.ENSP00000346839	813
4448989	9606.ENSP00000418770	813
4448805	9606.ENSP00000415941	808
4442650	9606.ENSP00000355315	806
4433329	9606.ENSP00000225698	805
4441634	9606.ENSP00000346550	799
4447869	9606.ENSP00000394863	799
4447940	9606.ENSP00000396688	797
4445494	9606.ENSP00000370473	796
4442719	9606.ENSP00000355627	794
4447787	9606.ENSP00000393241	792
4434379	9606.ENSP00000254722	789
4443076	9606.ENSP00000357283	789
4439815	9606.ENSP00000326042	789
4446977	9606.ENSP00000382982	789
